City,City (ascii),Lat,Long,Country,ISO2,ISO3,State,State Abbreviation,Capital,Primary Capital,Admin Capital,Minor Capital,Population
Malishevë,Malisheve,42.4822,20.7458,Kosovo,XK,XKS,Malishevë,,admin,,TRUE,,
Prizren,Prizren,42.2139,20.7397,Kosovo,XK,XKS,Prizren,,admin,,TRUE,,
Zubin Potok,Zubin Potok,42.9144,20.6897,Kosovo,XK,XKS,Zubin Potok,,admin,,TRUE,,
Kamenicë,Kamenice,42.5781,21.5803,Kosovo,XK,XKS,Kamenicë,,admin,,TRUE,,
Viti,Viti,42.3214,21.3583,Kosovo,XK,XKS,Viti,,admin,,TRUE,,
Shtërpcë,Shterpce,42.2394,21.0272,Kosovo,XK,XKS,Shtërpcë,,admin,,TRUE,,
Shtime,Shtime,42.4331,21.0397,Kosovo,XK,XKS,Shtime,,admin,,TRUE,,
Vushtrri,Vushtrri,42.8231,20.9675,Kosovo,XK,XKS,Vushtrri,,admin,,TRUE,,
Dragash,Dragash,42.0265,20.6533,Kosovo,XK,XKS,Dragash,,admin,,TRUE,,
Podujevë,Podujeve,42.9111,21.1899,Kosovo,XK,XKS,Podujevë,,admin,,TRUE,,
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,Kosovo,XK,XKS,Fushë Kosovë,,admin,,TRUE,,
Kaçanik,Kacanik,42.2319,21.2594,Kosovo,XK,XKS,Kaçanik,,admin,,TRUE,,
Klinë,Kline,42.6217,20.5778,Kosovo,XK,XKS,Klinë,,admin,,TRUE,,
Leposaviq,Leposaviq,43.1039,20.8028,Kosovo,XK,XKS,Leposaviq,,admin,,TRUE,,
Pejë,Peje,42.66,20.2922,Kosovo,XK,XKS,Pejë,,admin,,TRUE,,
Rahovec,Rahovec,42.3994,20.6547,Kosovo,XK,XKS,Rahovec,,admin,,TRUE,,
Gjilan,Gjilan,42.4689,21.4633,Kosovo,XK,XKS,Gjilan,,admin,,TRUE,,
Lipjan,Lipjan,42.5217,21.1258,Kosovo,XK,XKS,Lipjan,,admin,,TRUE,,
Obiliq,Obiliq,42.6869,21.0703,Kosovo,XK,XKS,Obiliq,,admin,,TRUE,,
Gjakovë,Gjakove,42.3803,20.4308,Kosovo,XK,XKS,Gjakovë,,admin,,TRUE,,
Pristina,Pristina,42.6666,21.1724,Kosovo,XK,XKS,Prishtinë,,primary,TRUE,,,
Deçan,Decan,42.5378,20.2911,Kosovo,XK,XKS,Deçan,,admin,,TRUE,,
Istog,Istog,42.7808,20.4875,Kosovo,XK,XKS,Istog,,admin,,TRUE,,
Hani i Elezit,Hani i Elezit,42.15,21.2967,Kosovo,XK,XKS,Hani i Elezit,,admin,,TRUE,,
Junik,Junik,42.4758,20.2772,Kosovo,XK,XKS,Junik,,admin,,TRUE,,
Kllokot,Kllokot,42.3714,21.3744,Kosovo,XK,XKS,Kllokot,,admin,,TRUE,,
Mamushë,Mamushe,42.3308,20.7269,Kosovo,XK,XKS,Mamushë,,admin,,TRUE,,
Partesh,Partesh,42.4019,21.4336,Kosovo,XK,XKS,Partesh,,admin,,TRUE,,
Ranillug,Ranillug,42.4922,21.5989,Kosovo,XK,XKS,Ranillug,,admin,,TRUE,,
Ferizaj,Ferizaj,42.3706,21.1553,Kosovo,XK,XKS,Ferizaj,,admin,,TRUE,,
Zveçan,Zvecan,42.9075,20.8403,Kosovo,XK,XKS,Zveçan,,admin,,TRUE,,
Suharekë,Suhareke,42.3586,20.825,Kosovo,XK,XKS,Suharekë,,admin,,TRUE,,
Gllogovc,Gllogovc,42.6283,20.8939,Kosovo,XK,XKS,Gllogovc,,admin,,TRUE,,
Mitrovicë,Mitrovice,42.8833,20.8667,Kosovo,XK,XKS,,,admin,,TRUE,,
Skenderaj,Skenderaj,42.7467,20.7886,Kosovo,XK,XKS,Skenderaj ,,admin,,TRUE,,
Novobërdë,Novoberde,42.6178,21.4197,Kosovo,XK,XKS,Novobërdë,,admin,,TRUE,,
Graçanicë,Gracanice,42.6011,21.1958,Kosovo,XK,XKS,Graçanicë,,admin,,TRUE,,
Longyearbyen,Longyearbyen,78.2167,15.6333,Svalbard,XR,XSV,,,primary,TRUE,,,
Sanaa,Sanaa,15.3547,44.2066,Yemen,YE,YEM,Amānat al ‘Āşimah,,primary,TRUE,,,2008000
Marib,Marib,15.421,45.334,Yemen,YE,YEM,Ma’rib,,admin,,TRUE,,16794
Al Jabīn,Al Jabin,14.704,43.599,Yemen,YE,YEM,Raymah,,admin,,TRUE,,
Hajjah,Hajjah,15.6917,43.6021,Yemen,YE,YEM,Ḩajjah,,admin,,TRUE,,208287
Ibb,Ibb,13.9759,44.1709,Yemen,YE,YEM,Ibb,,admin,,TRUE,,234837
Al Hudaydah,Al Hudaydah,14.7979,42.953,Yemen,YE,YEM,Al Ḩudaydah,,admin,,TRUE,,780000
Lahij,Lahij,13.0582,44.8838,Yemen,YE,YEM,Laḩij,,admin,,TRUE,,66288
Al Maḩwīt,Al Mahwit,15.4701,43.5448,Yemen,YE,YEM,Al Maḩwīt,,admin,,TRUE,,
Taizz,Taizz,13.6045,44.0394,Yemen,YE,YEM,Ta‘izz,,admin,,TRUE,,751000
Sadah,Sadah,16.9398,43.8498,Yemen,YE,YEM,Şa‘dah,,admin,,TRUE,,105542
Dhamar,Dhamar,14.5575,44.3875,Yemen,YE,YEM,Dhamār,,admin,,TRUE,,191259
‘Amrān,`Amran,15.6594,43.9439,Yemen,YE,YEM,‘Amrān,,admin,,TRUE,,
Aḑ Ḑāli‘,Ad Dali`,13.6957,44.7314,Yemen,YE,YEM,Aḑ Ḑāli‘,,admin,,TRUE,,
Saywun,Saywun,15.943,48.7873,Yemen,YE,YEM,Ḩaḑramawt,,minor,,,TRUE,68747
Al Bayda,Al Bayda,13.979,45.574,Yemen,YE,YEM,Al Bayḑā’,,admin,,TRUE,,37821
Zinjibār,Zinjibar,13.1287,45.3807,Yemen,YE,YEM,Abyan,,admin,,TRUE,,
Rida,Rida,14.4295,44.8341,Yemen,YE,YEM,Al Bayḑā’,,minor,,,TRUE,45233
'Ataq,'Ataq,14.55,46.8,Yemen,YE,YEM,Shabwah,,admin,,TRUE,,37315
Al Ghaydah,Al Ghaydah,16.2394,52.1638,Yemen,YE,YEM,Al Mahrah,,admin,,TRUE,,27404
Sayhut,Sayhut,15.2105,51.2454,Yemen,YE,YEM,Al Mahrah,,minor,,,TRUE,189
Al Mukalla,Al Mukalla,14.5412,49.1259,Yemen,YE,YEM,Ḩaḑramawt,,admin,,TRUE,,258132
Al Ḩazm,Al Hazm,16.1641,44.7769,Yemen,YE,YEM,Al Jawf,,admin,,TRUE,,
Zabīd,Zabid,14.1951,43.3155,Yemen,YE,YEM,Al Ḩudaydah,,minor,,,TRUE,152504
Aden,Aden,12.7797,45.0095,Yemen,YE,YEM,‘Adan,,admin,,TRUE,,1000000
Hadiboh,Hadiboh,12.6519,54.0239,Yemen,YE,YEM,Arkhabīl Suquţrá,,admin,,TRUE,,11396
Ash Shihr,Ash Shihr,14.7593,49.6092,Yemen,YE,YEM,Ḩaḑramawt,,minor,,,TRUE,54274
Dzaoudzi,Dzaoudzi,-12.7871,45.275,Mayotte,YT,MYT,,,admin,,TRUE,,32057
Pretoria,Pretoria,-25.7069,28.2294,South Africa,ZA,ZAF,Gauteng,,primary,TRUE,,,1338000
Lebowakgomo,Lebowakgomo,-24.1996,29.5,South Africa,ZA,ZAF,Limpopo,,,,,,33308
Potchefstroom,Potchefstroom,-26.6996,27.1,South Africa,ZA,ZAF,North West,,,,,,123669
Graaff Reinet,Graaff Reinet,-32.3,24.54,South Africa,ZA,ZAF,Eastern Cape,,,,,,62896
Rustenburg,Rustenburg,-25.65,27.24,South Africa,ZA,ZAF,North West,,,,,,165976
Brandfort,Brandfort,-28.6996,26.47,South Africa,ZA,ZAF,Free State,,,,,,12091
Vryheid,Vryheid,-27.76,30.79,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,150012
Vereeniging,Vereeniging,-26.6496,27.96,South Africa,ZA,ZAF,Gauteng,,,,,,1074000
Brits,Brits,-25.6296,27.78,South Africa,ZA,ZAF,North West,,,,,,122497
Bethlehem,Bethlehem,-28.2196,28.3,South Africa,ZA,ZAF,Free State,,,,,,83654
Ubomba,Ubomba,-27.5661,32.0833,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,564
Polokwane,Polokwane,-23.89,29.45,South Africa,ZA,ZAF,Limpopo,,admin,,TRUE,,220045
Springbok,Springbok,-29.6667,17.8833,South Africa,ZA,ZAF,Northern Cape,,,,,,10438
Thohoyandou,Thohoyandou,-22.95,30.48,South Africa,ZA,ZAF,Limpopo,,,,,,269707
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,South Africa,ZA,ZAF,KwaZulu-Natal,,admin,,TRUE,,750845
Poffader,Poffader,-29.1329,19.3834,South Africa,ZA,ZAF,Northern Cape,,,,,,4220
Carnarvon,Carnarvon,-30.9496,22.1333,South Africa,ZA,ZAF,Northern Cape,,,,,,5785
Kroonstad,Kroonstad,-27.66,27.21,South Africa,ZA,ZAF,Free State,,,,,,103992
Alexander Bay,Alexander Bay,-28.6083,16.5033,South Africa,ZA,ZAF,Northern Cape,,,,,,1500
Bloemhof,Bloemhof,-27.6496,25.59,South Africa,ZA,ZAF,North West,,,,,,17122
Hermanus,Hermanus,-34.4096,19.2299,South Africa,ZA,ZAF,Western Cape,,,,,,25153
Bethal,Bethal,-26.4696,29.45,South Africa,ZA,ZAF,Mpumalanga,,,,,,101919
Upington,Upington,-28.46,21.23,South Africa,ZA,ZAF,Northern Cape,,,,,,71373
Tzaneen,Tzaneen,-23.8195,30.17,South Africa,ZA,ZAF,Limpopo,,,,,,67245
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,South Africa,ZA,ZAF,Western Cape,,,,,,3331
Musina,Musina,-22.34,30.03,South Africa,ZA,ZAF,Limpopo,,,,,,20191
Kimberley,Kimberley,-28.7468,24.77,South Africa,ZA,ZAF,Northern Cape,,admin,,TRUE,,165264
Durban,Durban,-29.865,30.98,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,2729000
Klerksdorp,Klerksdorp,-26.88,26.62,South Africa,ZA,ZAF,North West,,,,,,178921
Welkom,Welkom,-27.97,26.73,South Africa,ZA,ZAF,Free State,,,,,,431944
De Aar,De Aar,-30.65,24,South Africa,ZA,ZAF,Northern Cape,,,,,,32318
Prieska,Prieska,-29.6595,22.73,South Africa,ZA,ZAF,Northern Cape,,,,,,11236
Saldanha,Saldanha,-33.01,17.93,South Africa,ZA,ZAF,Western Cape,,,,,,68284
Middelburg,Middelburg,-31.5,25.01,South Africa,ZA,ZAF,Eastern Cape,,,,,,18164
Port St. Johns,Port St. Johns,-31.6279,29.5283,South Africa,ZA,ZAF,Eastern Cape,,,,,,5939
Volksrust,Volksrust,-27.3596,29.89,South Africa,ZA,ZAF,Mpumalanga,,,,,,43378
Ulundi,Ulundi,-28.3296,31.41,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,20753
Beaufort West,Beaufort West,-32.3496,22.57,South Africa,ZA,ZAF,Western Cape,,,,,,44737
Komatipoort,Komatipoort,-25.4096,31.94,South Africa,ZA,ZAF,Mpumalanga,,,,,,20508
Nelspruit,Nelspruit,-25.4745,30.9703,South Africa,ZA,ZAF,Mpumalanga,,admin,,TRUE,,
Standerton,Standerton,-26.9395,29.24,South Africa,ZA,ZAF,Mpumalanga,,,,,,74021
Johannesburg,Johannesburg,-26.17,28.03,South Africa,ZA,ZAF,Gauteng,,admin,,TRUE,,3435000
Kuruman,Kuruman,-27.4496,23.42,South Africa,ZA,ZAF,Northern Cape,,,,,,10006
Paarl,Paarl,-33.6996,18.96,South Africa,ZA,ZAF,Western Cape,,,,,,187865
Worcester,Worcester,-33.64,19.4399,South Africa,ZA,ZAF,Western Cape,,,,,,127597
Colesberg,Colesberg,-30.7195,25.1,South Africa,ZA,ZAF,Northern Cape,,,,,,12423
Umtata,Umtata,-31.58,28.79,South Africa,ZA,ZAF,Eastern Cape,,,,,,137772
Aliwal North,Aliwal North,-30.6896,26.71,South Africa,ZA,ZAF,Eastern Cape,,,,,,44436
Middelburg,Middelburg,-25.7596,29.47,South Africa,ZA,ZAF,Mpumalanga,,,,,,154706
Springs,Springs,-26.2696,28.43,South Africa,ZA,ZAF,Gauteng,,,,,,236083
Benoni,Benoni,-26.1496,28.3299,South Africa,ZA,ZAF,Gauteng,,,,,,2986000
Port Shepstone,Port Shepstone,-30.7195,30.46,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,52793
Oudtshoorn,Oudtshoorn,-33.58,22.19,South Africa,ZA,ZAF,Western Cape,,,,,,76708
Port Elizabeth,Port Elizabeth,-33.97,25.6,South Africa,ZA,ZAF,Eastern Cape,,,,,,1021000
Port Alfred,Port Alfred,-33.5995,26.88,South Africa,ZA,ZAF,Eastern Cape,,,,,,17959
East London,East London,-32.97,27.87,South Africa,ZA,ZAF,Eastern Cape,,,,,,338627
Mossel Bay,Mossel Bay,-34.17,22.13,South Africa,ZA,ZAF,Western Cape,,,,,,16743
Vryburg,Vryburg,-26.96,24.73,South Africa,ZA,ZAF,North West,,,,,,49588
Uitenhage,Uitenhage,-33.7596,25.39,South Africa,ZA,ZAF,Eastern Cape,,,,,,228912
Bhisho,Bhisho,-32.87,27.39,South Africa,ZA,ZAF,Eastern Cape,,admin,,TRUE,,160997
Knysna,Knysna,-34.0329,23.0333,South Africa,ZA,ZAF,Western Cape,,,,,,63106
Queenstown,Queenstown,-31.8996,26.88,South Africa,ZA,ZAF,Eastern Cape,,,,,,105309
Cradock,Cradock,-32.1995,25.61,South Africa,ZA,ZAF,Eastern Cape,,,,,,32898
Bredasdorp,Bredasdorp,-34.5295,20.03,South Africa,ZA,ZAF,Western Cape,,,,,,14936
Swellendam,Swellendam,-34.0196,20.43,South Africa,ZA,ZAF,Western Cape,,,,,,13674
Ladysmith,Ladysmith,-28.5495,29.78,South Africa,ZA,ZAF,KwaZulu-Natal,,,,,,47375
George,George,-33.95,22.45,South Africa,ZA,ZAF,Western Cape,,,,,,174582
Grahamstown,Grahamstown,-33.2996,26.52,South Africa,ZA,ZAF,Eastern Cape,,,,,,91548
Mmabatho,Mmabatho,-25.83,25.61,South Africa,ZA,ZAF,North West,,,,,,104428
Mahikeng,Mahikeng,-25.8652,25.6442,South Africa,ZA,ZAF,North West,,admin,,TRUE,,
Bloemfontein,Bloemfontein,-29.12,26.2299,South Africa,ZA,ZAF,Free State,,primary,TRUE,,,463064
Cape Town,Cape Town,-33.92,18.435,South Africa,ZA,ZAF,Western Cape,,primary,TRUE,,,3215000
Zambezi,Zambezi,-13.54,23.1099,Zambia,ZM,ZMB,North-Western,,,,,,7074
Solwezi,Solwezi,-12.1796,26.4,Zambia,ZM,ZMB,North-Western,,admin,,TRUE,,65000
Lusaka,Lusaka,-15.4166,28.2833,Zambia,ZM,ZMB,Lusaka,,primary,TRUE,,,1328000
Kaoma,Kaoma,-14.7796,24.8,Zambia,ZM,ZMB,Western,,,,,,14212
Chipata,Chipata,-13.6296,32.64,Zambia,ZM,ZMB,Eastern,,admin,,TRUE,,85963
Senanga,Senanga,-16.1196,23.27,Zambia,ZM,ZMB,Western,,,,,,10005
Sesheke,Sesheke,-17.4695,24.3,Zambia,ZM,ZMB,Western,,,,,,20149
Chililabombwe,Chililabombwe,-12.3696,27.82,Zambia,ZM,ZMB,Copperbelt,,,,,,82068
Chingola,Chingola,-12.5396,27.85,Zambia,ZM,ZMB,Copperbelt,,,,,,182015
Kasempa,Kasempa,-13.4596,25.82,Zambia,ZM,ZMB,North-Western,,,,,,5622
Kitwe,Kitwe,-12.81,28.22,Zambia,ZM,ZMB,Copperbelt,,,,,,404901
Mufulira,Mufulira,-12.55,28.26,Zambia,ZM,ZMB,Copperbelt,,,,,,153624
Nchelenge,Nchelenge,-9.3496,28.73,Zambia,ZM,ZMB,Luapula,,,,,,23693
Mazabuka,Mazabuka,-15.86,27.76,Zambia,ZM,ZMB,Southern,,,,,,64006
Lukulu,Lukulu,-14.3896,23.24,Zambia,ZM,ZMB,Western,,,,,,3349
Kafue,Kafue,-15.78,28.18,Zambia,ZM,ZMB,Lusaka,,,,,,47554
Lundazi,Lundazi,-12.2895,33.17,Zambia,ZM,ZMB,Eastern,,,,,,11635
Mansa,Mansa,-11.2,28.89,Zambia,ZM,ZMB,Luapula,,admin,,TRUE,,42277
Mwinilunga,Mwinilunga,-11.7396,24.44,Zambia,ZM,ZMB,North-Western,,,,,,13798
Mumbwa,Mumbwa,-14.9796,27.07,Zambia,ZM,ZMB,Central,,,,,,19086
Kalabo,Kalabo,-14.9896,22.68,Zambia,ZM,ZMB,Western,,,,,,7731
Nyimba,Nyimba,-14.5495,30.81,Zambia,ZM,ZMB,Eastern,,,,,,1336
Kapiri Mposhi,Kapiri Mposhi,-13.9696,28.66,Zambia,ZM,ZMB,Central,,,,,,37942
Kabwe,Kabwe,-14.44,28.45,Zambia,ZM,ZMB,Central,,admin,,TRUE,,188979
Ndola,Ndola,-12.9999,28.65,Zambia,ZM,ZMB,Copperbelt,,admin,,TRUE,,396339
Kasama,Kasama,-10.1996,31.1799,Zambia,ZM,ZMB,Northern,,admin,,TRUE,,200000
Mbala,Mbala,-8.84,31.37,Zambia,ZM,ZMB,Northern,,,,,,20570
Kawambwa,Kawambwa,-9.7795,29.08,Zambia,ZM,ZMB,Luapula,,,,,,20589
Luanshya,Luanshya,-13.1333,28.4,Zambia,ZM,ZMB,Copperbelt,,,,,,151993
Mongu,Mongu,-15.2796,23.12,Zambia,ZM,ZMB,Western,,admin,,TRUE,,52534
Mpika,Mpika,-11.83,31.46,Zambia,ZM,ZMB,Muchinga,,,,,,28445
Chinsali,Chinsali,-10.5496,32.06,Zambia,ZM,ZMB,Muchinga,,admin,,TRUE,,14015
Livingstone,Livingstone,-17.86,25.86,Zambia,ZM,ZMB,Southern,,,,,,165480
Choma,Choma,-16.8095,26.97,Zambia,ZM,ZMB,Southern,,admin,,TRUE,,46746
Plumtree,Plumtree,-20.4795,27.82,Zimbabwe,ZW,ZWE,,,,,,,2148
Kariba,Kariba,-16.5296,28.8,Zimbabwe,ZW,ZWE,,,,,,,25531
Hwange,Hwange,-18.37,26.5,Zimbabwe,ZW,ZWE,,,,,,,33989
Chiredzi,Chiredzi,-21.0496,31.66,Zimbabwe,ZW,ZWE,,,,,,,28205
Mazowe,Mazowe,-17.5196,30.97,Zimbabwe,ZW,ZWE,Mashonaland Central,,,,,,9966
Zvishavane,Zvishavane,-20.3296,30.05,Zimbabwe,ZW,ZWE,Masvingo,,,,,,35896
Shamva,Shamva,-17.3196,31.57,Zimbabwe,ZW,ZWE,Mashonaland Central,,,,,,10317
Harare,Harare,-17.8178,31.0447,Zimbabwe,ZW,ZWE,Harare,,primary,TRUE,,,1572000
Kwekwe,Kwekwe,-18.9296,29.8,Zimbabwe,ZW,ZWE,Midlands,,,,,,99149
Kadoma,Kadoma,-18.33,29.9099,Zimbabwe,ZW,ZWE,Mashonaland West,,,,,,79174
Gwanda,Gwanda,-20.9396,29.01,Zimbabwe,ZW,ZWE,Matabeleland South,,,,,,14450
Chinhoyi,Chinhoyi,-17.3596,30.18,Zimbabwe,ZW,ZWE,,,,,,,61739
Beitbridge,Beitbridge,-22.2096,29.99,Zimbabwe,ZW,ZWE,,,,,,,26459
Mutare,Mutare,-18.97,32.65,Zimbabwe,ZW,ZWE,Manicaland,,,,,,249365
Gweru,Gweru,-19.45,29.82,Zimbabwe,ZW,ZWE,,,,,,,183358
Karoi,Karoi,-16.8196,29.68,Zimbabwe,ZW,ZWE,Mashonaland West,,,,,,25030
Masvingo,Masvingo,-20.0596,30.82,Zimbabwe,ZW,ZWE,Masvingo,,,,,,76311
Bulawayo,Bulawayo,-20.17,28.58,Zimbabwe,ZW,ZWE,Bulawayo,,,,,,699385
Victoria Falls,Victoria Falls,-17.9296,25.84,Zimbabwe,ZW,ZWE,Matabeleland North,,,,,,35761
Chitungwiza,Chitungwiza,-18,31.1,Zimbabwe,ZW,ZWE,Harare,,,,,,340360
Maqat,Maqat,47.6482,53.3265,Kazakhstan,KZ,KAZ,Atyraū,,,,,,14082
Zhangaozen,Zhangaozen,43.3004,52.8,Kazakhstan,KZ,KAZ,Mangghystaū,,,,,,8895
Taraz,Taraz,42.9,71.365,Kazakhstan,KZ,KAZ,Zhambyl,,admin,,TRUE,,358153
Shymkent,Shymkent,42.32,69.595,Kazakhstan,KZ,KAZ,Ongtüstik Qazaqstan,,admin,,TRUE,,465392
Oral,Oral,51.2711,51.335,Kazakhstan,KZ,KAZ,Batys Qazaqstan,,admin,,TRUE,,209788
Balqash,Balqash,46.8532,74.9502,Kazakhstan,KZ,KAZ,Qaraghandy,,,,,,81364
Zaysan,Zaysan,47.4752,84.8598,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,17600
Oytal,Oytal,42.9153,73.2549,Kazakhstan,KZ,KAZ,Zhambyl,,,,,,22673
Zholymbet,Zholymbet,51.7502,71.7099,Kazakhstan,KZ,KAZ,Aqmola,,,,,,6876
Serebryansk,Serebryansk,49.6999,83.4249,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,701
Chapaev,Chapaev,50.1915,51.1449,Kazakhstan,KZ,KAZ,Batys Qazaqstan,,,,,,6000
Ridder,Ridder,50.3554,83.5149,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,56756
Zhaltyr,Zhaltyr,51.6324,69.8328,Kazakhstan,KZ,KAZ,Aqmola,,,,,,694
Atbasar,Atbasar,51.8219,68.3477,Kazakhstan,KZ,KAZ,Aqmola,,,,,,35819
Aqsay,Aqsay,51.1714,53.0349,Kazakhstan,KZ,KAZ,Batys Qazaqstan,,,,,,34799
Shemonaikha,Shemonaikha,50.6316,81.905,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,27176
Atasu,Atasu,48.6903,71.6499,Kazakhstan,KZ,KAZ,Qaraghandy,,,,,,19616
Rudny,Rudny,52.9527,63.13,Kazakhstan,KZ,KAZ,Qostanay,,,,,,124000
Makhambet,Makhambet,47.6714,51.5798,Kazakhstan,KZ,KAZ,Atyraū,,,,,,8905
Fort Shevchenko,Fort Shevchenko,44.5171,50.2666,Kazakhstan,KZ,KAZ,Mangghystaū,,,,,,5213
Qusmuryn,Qusmuryn,52.458,64.6,Kazakhstan,KZ,KAZ,Qostanay,,,,,,8049
Oktyabrsk,Oktyabrsk,49.4731,57.4449,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,28196
Khromtau,Khromtau,50.2699,58.45,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,23715
Algha,Algha,49.9032,57.335,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,28267
Embi,Embi,48.8268,58.1442,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,18760
Ushtobe,Ushtobe,45.2653,77.97,Kazakhstan,KZ,KAZ,Almaty,,,,,,20492
Burylbaytal,Burylbaytal,44.9387,74.0303,Kazakhstan,KZ,KAZ,Zhambyl,,,,,,100
Zhanibek,Zhanibek,49.4276,46.8772,Kazakhstan,KZ,KAZ,Batys Qazaqstan,,,,,,8212
Esil,Esil,51.957,66.3775,Kazakhstan,KZ,KAZ,Aqmola,,,,,,13504
Derzhavinsk,Derzhavinsk,51.1021,66.3075,Kazakhstan,KZ,KAZ,Aqmola,,,,,,15848
Saryshaghan,Saryshaghan,46.1195,73.6191,Kazakhstan,KZ,KAZ,Qaraghandy,,,,,,4365
Turgay,Turgay,49.626,63.499,Kazakhstan,KZ,KAZ,Qostanay,,,,,,5277
Sarqan,Sarqan,45.4203,79.9149,Kazakhstan,KZ,KAZ,Almaty,,,,,,76919
Arqalyq,Arqalyq,50.2418,66.8976,Kazakhstan,KZ,KAZ,Qostanay,,,,,,55521
Shalqar,Shalqar,47.8363,59.6141,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,27256
Shieli,Shieli,44.167,66.75,Kazakhstan,KZ,KAZ,Qyzylorda,,,,,,29832
Bayghanin,Bayghanin,48.6917,55.874,Kazakhstan,KZ,KAZ,Aqtöbe,,,,,,7657
Zhezqazghan,Zhezqazghan,47.78,67.77,Kazakhstan,KZ,KAZ,Qaraghandy,,,,,,104357
Mangyshlak,Mangyshlak,43.6905,51.1417,Kazakhstan,KZ,KAZ,Mangghystaū,,,,,,147443
Zhosaly,Zhosaly,45.4877,64.078,Kazakhstan,KZ,KAZ,Qyzylorda,,,,,,20065
Beyneu,Beyneu,45.1834,55.1,Kazakhstan,KZ,KAZ,Mangghystaū,,,,,,32452
Qazaly,Qazaly,45.7628,62.1075,Kazakhstan,KZ,KAZ,Qyzylorda,,,,,,6582
Aral,Aral,46.8,61.6666,Kazakhstan,KZ,KAZ,Qyzylorda,,,,,,33017
Ayakoz,Ayakoz,47.9647,80.4297,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,45861
Urzhar,Urzhar,47.1002,81.6048,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,,,,,14826
Qapshaghay,Qapshaghay,43.8844,77.0687,Kazakhstan,KZ,KAZ,Almaty,,,,,,42167
Esik,Esik,43.3691,77.4438,Kazakhstan,KZ,KAZ,Almaty,,,,,,35319
Turkistan,Turkistan,43.3016,68.2549,Kazakhstan,KZ,KAZ,Ongtüstik Qazaqstan,,,,,,97360
Qaratau,Qaratau,43.1854,70.46,Kazakhstan,KZ,KAZ,Zhambyl,,,,,,37881
Sharbaqty,Sharbaqty,52.4999,78.1499,Kazakhstan,KZ,KAZ,Pavlodar,,,,,,107
Oostanay,Oostanay,53.2209,63.6283,Kazakhstan,KZ,KAZ,Qostanay,,admin,,TRUE,,236901
Kachiry,Kachiry,53.0804,76.09,Kazakhstan,KZ,KAZ,Pavlodar,,,,,,8931
Kishkenekol,Kishkenekol,53.6368,72.3414,Kazakhstan,KZ,KAZ,Soltüstik Qazaqstan,,,,,,6779
Bulaevo,Bulaevo,54.9053,70.44,Kazakhstan,KZ,KAZ,Soltüstik Qazaqstan,,,,,,9886
Shonzhy,Shonzhy,43.5421,79.4703,Kazakhstan,KZ,KAZ,Almaty,,,,,,3902
Qyzylorda,Qyzylorda,44.8,65.465,Kazakhstan,KZ,KAZ,Qyzylorda,,admin,,TRUE,,300000
Qaraghandy,Qaraghandy,49.885,73.115,Kazakhstan,KZ,KAZ,Qaraghandy,,admin,,TRUE,,451800
Ertis,Ertis,53.3453,75.4499,Kazakhstan,KZ,KAZ,Pavlodar,,,,,,9216
Tayynsha,Tayynsha,53.8481,69.7638,Kazakhstan,KZ,KAZ,Soltüstik Qazaqstan,,,,,,13148
Qulan,Qulan,42.9204,72.705,Kazakhstan,KZ,KAZ,Zhambyl,,,,,,13128
Shu,Shu,43.5953,73.7448,Kazakhstan,KZ,KAZ,Zhambyl,,,,,,42439
Kentau,Kentau,43.5165,68.5199,Kazakhstan,KZ,KAZ,Ongtüstik Qazaqstan,,,,,,57408
Oskemen,Oskemen,49.99,82.6149,Kazakhstan,KZ,KAZ,Shyghys Qazaqstan,,admin,,TRUE,,319067
Aqtau,Aqtau,43.6232,51.2365,Kazakhstan,KZ,KAZ,Mangghystaū,,admin,,TRUE,,4479
Taldyqorghan,Taldyqorghan,45,78.4,Kazakhstan,KZ,KAZ,Almaty,,admin,,TRUE,,88380
Astana,Astana,51.1811,71.4278,Kazakhstan,KZ,KAZ,Astana,,primary,TRUE,,,345604
Aqtobe,Aqtobe,50.28,57.17,Kazakhstan,KZ,KAZ,Aqtöbe,,admin,,TRUE,,262457
Kokshetau,Kokshetau,53.3,69.42,Kazakhstan,KZ,KAZ,Aqmola,,admin,,TRUE,,128873
